n_losses,year,player_name,nemesis
5,1970,Ismail El Shafei,Marty Riessen
5,1970,Zeljko Franulovic,Cliff Richey
5,1970,Roy Emerson,Rod Laver
5,1970,John Newcombe,Ken Rosewall
5,1970,Ken Rosewall,Rod Laver
4,1970,Cliff Drysdale,Rod Laver
4,1970,Pierre Barthes,Cliff Richey
4,1970,Cliff Richey,Ilie Nastase
4,1970,Charlie Pasarell,Stan Smith
4,1970,Bob Carmichael,Cliff Richey
4,1970,Cliff Richey,Stan Smith
4,1970,Roger Taylor,Tom Okker
4,1970,Nikola Pilic,John Newcombe
4,1970,Tom Okker,Roger Taylor
4,1970,Mark Cox,Marty Riessen
4,1970,Bob Lutz,Arthur Ashe
3,1970,Clark Graebner,Thomaz Koch
3,1970,Clark Graebner,Arthur Ashe
3,1970,Terry Addison,Arthur Ashe
3,1970,Stan Smith,Marty Riessen
3,1970,Stan Smith,Cliff Richey
3,1970,Bob Hewitt,Tom Okker
3,1970,Tony Roche,Ken Rosewall
3,1970,Ilie Nastase,Jaime Fillol
3,1970,Earl Butch Buchholz,Ken Rosewall
3,1970,Ilie Nastase,Cliff Richey
3,1970,Raymond Moore,Rod Laver
3,1970,Raymond Moore,Ken Rosewall
3,1970,Jim Mcmanus,Cliff Richey
3,1970,Premjit Lall,Clark Graebner
3,1970,Allan Stone,Arthur Ashe
3,1970,Ion Tiriac,Clark Graebner
3,1970,Tom Gorman,John Newcombe
3,1970,Ray Keldie,Clark Graebner
3,1970,Jaime Fillol,Stan Smith
3,1970,Tom Gorman,Brian Fairlie
3,1970,Tom Gorman,Bob Lutz
3,1970,Stan Smith,Arthur Ashe
3,1970,Graham Stilwell,John Newcombe
3,1970,Jan Kodes,Arthur Ashe
3,1970,Jan Kodes,Cliff Richey
3,1970,Jan Kodes,Allan Stone
3,1970,Jan Kodes,Zeljko Franulovic
3,1970,Fred Stolle,Dennis Ralston
3,1970,Fred Stolle,Ken Rosewall
3,1970,Graham Stilwell,Rod Laver
3,1970,Fred Stolle,Tony Roche
3,1970,Fred Stolle,Earl Butch Buchholz
3,1970,Andres Gimeno,John Newcombe
3,1970,Andres Gimeno,Ken Rosewall
3,1970,Fred Stolle,Rod Laver
3,1970,Patricio Cornejo,Fred Stolle
3,1970,John Alexander,Tom Okker
3,1970,Wieslaw Gasiorek,Zeljko Franulovic
3,1970,Andres Gimeno,Rod Laver
3,1970,Arthur Ashe,Cliff Richey
3,1970,Arthur Ashe,Stan Smith
3,1970,Owen Davidson,Roger Taylor
3,1970,Owen Davidson,Mark Cox
3,1970,Richard Gonzalez,Marty Riessen
3,1970,Dennis Ralston,Arthur Ashe
3,1970,Manuel Orantes,Zeljko Franulovic
7,1971,Tom Okker,Rod Laver
6,1971,Marty Riessen,Ken Rosewall
6,1971,Arthur Ashe,Rod Laver
6,1971,Nikola Pilic,Cliff Drysdale
6,1971,Roy Emerson,Rod Laver
5,1971,Andres Gimeno,Ken Rosewall
5,1971,Owen Davidson,Cliff Drysdale
5,1971,Phil Dent,Tom Okker
4,1971,Bob Lutz,Rod Laver
4,1971,Graham Stilwell,Andres Gimeno
4,1971,Bob Lutz,Marty Riessen
4,1971,Brian Fairlie,Tom Okker
4,1971,Clark Graebner,Zeljko Franulovic
4,1971,Ray Ruffels,Cliff Drysdale
4,1971,Frank Froehling,Ilie Nastase
4,1971,John Alexander,Marty Riessen
4,1971,John Alexander,Cliff Drysdale
