date_pk,date_id,date,day,month,quarter,year,day_of_week,the_day,the_month
1,20080623,2008-06-23,23,6,Q2,2008,1,Monday,June
2,19700706,1970-07-06,6,7,Q3,1970,1,Monday,July
3,19700817,1970-08-17,17,8,Q3,1970,1,Monday,August
4,19700929,1970-09-29,29,9,Q3,1970,2,Tuesday,September
5,19700615,1970-06-15,15,6,Q2,1970,1,Monday,June
6,19700705,1970-07-05,5,7,Q3,1970,7,Sunday,July
7,19700607,1970-06-07,7,6,Q2,1970,7,Sunday,June
8,19700225,1970-02-25,25,2,Q1,1970,3,Wednesday,February
9,19701018,1970-10-18,18,10,Q4,1970,7,Sunday,October
10,19700406,1970-04-06,6,4,Q2,1970,1,Monday,April
11,19701108,1970-11-08,8,11,Q4,1970,7,Sunday,November
12,19700608,1970-06-08,8,6,Q2,1970,1,Monday,June
13,19700718,1970-07-18,18,7,Q3,1970,6,Saturday,July
14,19700711,1970-07-11,11,7,Q3,1970,6,Saturday,July
15,19700802,1970-08-02,2,8,Q3,1970,7,Sunday,August
16,19700426,1970-04-26,26,4,Q2,1970,7,Sunday,April
17,19701109,1970-11-09,9,11,Q4,1970,1,Monday,November
18,19700421,1970-04-21,21,4,Q2,1970,2,Tuesday,April
19,19700316,1970-03-16,16,3,Q1,1970,1,Monday,March
20,19700202,1970-02-02,2,2,Q1,1970,1,Monday,February
21,19700512,1970-05-12,12,5,Q2,1970,2,Tuesday,May
22,19700413,1970-04-13,13,4,Q2,1970,1,Monday,April
23,19700506,1970-05-06,6,5,Q2,1970,3,Wednesday,May
24,19700513,1970-05-13,13,5,Q2,1970,3,Wednesday,May
25,19700516,1970-05-16,16,5,Q2,1970,6,Saturday,May
26,19700809,1970-08-09,9,8,Q3,1970,7,Sunday,August
27,19700727,1970-07-27,27,7,Q3,1970,1,Monday,July
28,19700812,1970-08-12,12,8,Q3,1970,3,Wednesday,August
29,19700720,1970-07-20,20,7,Q3,1970,1,Monday,July
30,19700919,1970-09-19,19,9,Q3,1970,6,Saturday,September
31,19700928,1970-09-28,28,9,Q3,1970,1,Monday,September
32,19701003,1970-10-03,3,10,Q4,1970,6,Saturday,October
33,19700324,1970-03-24,24,3,Q1,1970,2,Tuesday,March
34,19701101,1970-11-01,1,11,Q4,1970,7,Sunday,November
35,19701116,1970-11-16,16,11,Q4,1970,1,Monday,November
36,19700415,1970-04-15,15,4,Q2,1970,3,Wednesday,April
37,19700501,1970-05-01,1,5,Q2,1970,5,Friday,May
38,19700622,1970-06-22,22,6,Q2,1970,1,Monday,June
39,19700902,1970-09-02,2,9,Q3,1970,3,Wednesday,September
